1/27/2022  1:02 PM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.005	0.000	
2	0.005	0.099	
3	0.005	0.132	
4	0.005	0.166	
5	0.005	0.198	
6	0.005	0.231	
7	0.005	0.264	
8	0.005	0.297	
9	0.005	0.330	
10	0.005	0.364	
11	0.005	0.396	
12	0.005	0.430	
13	0.005	0.464	
14	0.005	0.495	
15	0.005	0.528	
16	0.005	0.561	
17	0.005	0.595	
18	0.005	0.627	
19	0.005	0.660	
20	0.005	0.693	
21	0.005	0.727	
22	0.005	0.760	
23	0.005	0.792	
24	0.005	0.859	
25	0.005	0.891	
26	0.005	0.924	
27	0.005	0.957	
28	0.005	0.990	
29	0.005	1.024	
30	0.005	1.057	
31	0.005	1.089	
32	0.005	1.122	
33	0.005	1.156	
34	0.005	1.189	
35	0.005	1.222	
36	0.005	1.254	
37	0.005	1.287	
38	0.005	1.320	
39	0.005	1.353	
40	0.005	1.386	
41	0.005	1.419	
42	0.005	1.452	
43	0.005	1.485	
44	0.005	1.518	
45	0.005	1.552	
46	0.005	1.584	
47	0.005	1.617	
48	0.005	1.650	
49	0.005	1.683	
50	0.005	1.716	
51	0.005	1.749	
52	0.005	1.782	
53	0.005	1.816	
54	0.005	1.848	
55	0.005	1.881	
56	0.005	1.914	
57	0.005	1.948	
58	0.005	1.980	
59	0.005	2.013	
60	0.005	2.046	
61	0.005	2.080	
62	0.005	2.112	
63	0.005	2.145	
64	0.005	2.178	
65	0.005	2.211	
66	0.005	2.244	
67	0.005	2.277	
68	0.005	2.310	
69	0.005	2.343	
70	0.005	2.376	
71	0.005	2.409	
72	0.005	2.442	
73	0.005	2.476	
74	0.005	2.508	
75	0.005	2.541	
76	0.005	2.575	
77	-0.010	2.607	
78	-0.135	2.641	
79	-0.085	2.707	
80	-0.090	2.739	
81	-0.100	2.772	
82	-0.105	2.805	
83	-0.130	2.838	
84	-0.155	2.871	
85	-0.185	2.904	
86	-0.215	2.937	
87	-0.235	2.970	
88	-0.250	3.004	
89	-0.265	3.036	
90	-0.285	3.102	
91	-0.285	3.135	
92	-0.300	3.168	
93	-0.300	3.201	
94	-0.285	3.234	
95	-0.260	3.267	
96	-0.240	3.300	
97	-0.245	3.334	
98	-0.245	3.366	
99	-0.235	3.399	
100	-0.225	3.432	
101	-0.230	3.465	
102	-0.230	3.498	
103	-0.225	3.531	
104	-0.225	3.564	
105	-0.235	3.597	
106	-0.245	3.630	
107	-0.245	3.663	
108	-0.245	3.697	
109	-0.245	3.729	
110	-0.240	3.762	
111	-0.225	3.795	
112	-0.210	3.861	
113	-0.205	3.894	
114	-0.210	3.927	
115	-0.210	3.960	
116	-0.210	3.993	
117	-0.200	4.026	
118	-0.200	4.059	
119	-0.200	4.092	
120	-0.200	4.125	
121	-0.200	4.158	
122	-0.200	4.191	
123	-0.195	4.224	
124	-0.200	4.257	
125	-0.200	4.291	
126	-0.205	4.324	
127	-0.205	4.357	
128	-0.195	4.389	
129	-0.190	4.422	
130	-0.185	4.456	
131	-0.180	4.488	
132	-0.170	4.521	
133	-0.160	4.554	
134	-0.155	4.587	
135	-0.155	4.621	
136	-0.150	4.653	
137	-0.145	4.686	
138	-0.150	4.719	
139	-0.170	4.752	
140	-0.170	4.785	
141	-0.165	4.818	
142	-0.170	4.851	
143	-0.185	4.884	
144	-0.205	4.917	
145	-0.235	4.950	
146	-0.260	4.983	
147	-0.295	5.016	
148	-0.315	5.049	
149	-0.320	5.082	
150	-0.310	5.115	
151	-0.310	5.148	
152	-0.310	5.182	
153	-0.300	5.214	
154	-0.285	5.247	
155	-0.270	5.280	
156	-0.255	5.313	
157	-0.240	5.346	
158	-0.225	5.379	
159	-0.215	5.412	
160	-0.215	5.445	
161	-0.210	5.478	
162	-0.210	5.511	
163	-0.205	5.544	
164	-0.210	5.577	
165	-0.210	5.610	
166	-0.215	5.643	
167	-0.215	5.676	
168	-0.215	5.710	
169	-0.225	5.742	
170	-0.230	5.775	
171	-0.230	5.808	
172	-0.230	5.841	
173	-0.230	5.874	
174	-0.235	5.907	
175	-0.240	5.940	
176	-0.240	5.974	
177	-0.245	6.006	
178	-0.255	6.039	
179	-0.260	6.072	
180	-0.260	6.105	
181	-0.255	6.138	
182	-0.265	6.171	
183	-0.255	6.204	
184	-0.235	6.237	
185	-0.220	6.270	
186	-0.220	6.303	
187	-0.220	6.336	
188	-0.215	6.369	
189	-0.210	6.402	
190	-0.210	6.435	
191	-0.220	6.468	
192	-0.210	6.502	
193	-0.195	6.535	
194	-0.175	6.568	
195	-0.175	6.601	
196	-0.170	6.633	
197	-0.155	6.666	
198	-0.145	6.699	
199	-0.140	6.732	
200	-0.140	6.765	
201	-0.145	6.798	
202	-0.145	6.832	
203	-0.140	6.864	
204	-0.145	6.897	
205	-0.145	6.930	
206	-0.145	6.963	
207	-0.150	6.996	
208	-0.145	7.029	
209	-0.145	7.063	
210	-0.155	7.095	
211	-0.160	7.128	
212	-0.165	7.161	
213	-0.170	7.195	
214	-0.160	7.227	
215	-0.155	7.261	
216	-0.155	7.293	
217	-0.155	7.327	
218	-0.155	7.359	
219	-0.145	7.392	
220	-0.140	7.425	
221	-0.140	7.458	
222	-0.140	7.492	
223	-0.140	7.525	
224	-0.140	7.557	
225	-0.140	7.590	
226	-0.140	7.623	
227	-0.145	7.656	
228	-0.150	7.689	
229	-0.160	7.722	
230	-0.155	7.756	
231	-0.155	7.788	
232	-0.155	7.821	
233	-0.155	7.854	
234	-0.160	7.887	
235	-0.155	7.920	
236	-0.150	7.954	
237	-0.150	7.986	
238	-0.160	8.019	
239	-0.160	8.052	
240	-0.165	8.086	
241	-0.165	8.118	
242	-0.175	8.152	
243	-0.180	8.185	
244	-0.180	8.218	
245	-0.185	8.250	
246	-0.185	8.284	
247	-0.185	8.316	
248	-0.185	8.349	
249	-0.180	8.382	
250	-0.185	8.415	
251	-0.185	8.448	
252	-0.180	8.482	
253	-0.180	8.514	
254	-0.180	8.547	
255	-0.180	8.580	
256	-0.190	8.613	
257	-0.190	8.646	
258	-0.185	8.679	
259	-0.190	8.712	
260	-0.195	8.745	
261	-0.200	8.778	
262	-0.195	8.811	
263	-0.195	8.844	
264	-0.205	8.877	
265	-0.205	8.910	
266	-0.195	8.943	
267	-0.185	8.976	
268	-0.190	9.009	
269	-0.190	9.042	
270	-0.180	9.077	
271	-0.175	9.109	
272	-0.180	9.141	
273	-0.190	9.174	
274	-0.195	9.207	
275	-0.200	9.240	
276	-0.200	9.273	
277	-0.200	9.306	
278	-0.195	9.339	
279	-0.180	9.372	
280	-0.165	9.405	
281	-0.160	9.438	
282	-0.155	9.471	
283	-0.145	9.504	
284	-0.130	9.537	
285	-0.120	9.570	
286	-0.125	9.603	
287	-0.135	9.636	
288	-0.135	9.669	
289	-0.130	9.702	
290	-0.130	9.735	
291	-0.135	9.768	
292	-0.135	9.801	
293	-0.140	9.835	
294	-0.140	9.867	
295	-0.150	9.900	
296	-0.150	9.933	
297	-0.155	9.966	
298	-0.155	9.999	
299	-0.155	10.032	
300	-0.145	10.065	
301	-0.145	10.131	
302	-0.145	10.164	
303	-0.140	10.198	
304	-0.135	10.230	
305	-0.130	10.265	
306	-0.130	10.296	
307	-0.130	10.330	
308	-0.130	10.362	
309	-0.130	10.395	
310	-0.130	10.428	
311	-0.130	10.462	
312	-0.130	10.494	
313	-0.140	10.527	
314	-0.140	10.560	
315	-0.150	10.593	
316	-0.145	10.626	
317	-0.135	10.659	
318	-0.100	10.725	
319	-0.100	10.759	
320	-0.100	10.792	
321	-0.095	10.824	
322	-0.090	10.857	
323	-0.090	10.890	
324	-0.095	10.923	
325	-0.100	10.957	
326	-0.100	10.989	
327	-0.095	11.055	
328	-0.095	11.088	
329	-0.105	11.155	
330	-0.105	11.187	
331	-0.110	11.253	
332	-0.120	11.286	
333	-0.125	11.352	
334	-0.125	11.385	
335	-0.125	11.418	
336	-0.135	11.451	
337	-0.145	11.484	
338	-0.140	11.517	
339	-0.145	11.550	
340	-0.160	11.616	
341	-0.160	11.649	
342	-0.165	11.715	
343	-0.170	11.750	
344	-0.170	11.781	
345	-0.175	11.848	
346	-0.175	11.880	
347	-0.185	11.946	
348	-0.190	11.979	
349	-0.210	12.046	
350	-0.210	12.078	
351	-0.205	12.144	
352	-0.200	12.177	
353	-0.170	12.243	
354	-0.160	12.276	
355	-0.145	12.343	
356	-0.130	12.375	
357	-0.105	12.441	
358	-0.110	12.475	
359	-0.115	12.507	
360	-0.120	12.574	
361	-0.135	12.606	
362	-0.165	12.672	
363	-0.165	12.705	
364	-0.175	12.771	
365	-0.180	12.804	
366	-0.180	12.870	
367	-0.170	12.903	
368	-0.175	12.969	
369	-0.180	13.002	
370	-0.180	13.068	
371	-0.165	13.101	
372	-0.155	13.167	
373	-0.155	13.200	
374	-0.160	13.266	
375	-0.160	13.299	
376	-0.160	13.365	
377	-0.160	13.398	
378	-0.155	13.464	
379	-0.140	13.498	
380	-0.115	13.563	
381	-0.110	13.597	
382	-0.105	13.629	
383	-0.095	13.695	
384	-0.090	13.728	
385	-0.095	13.795	
386	-0.095	13.827	
387	-0.100	13.893	
