3/3/2022  1:59 PM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	-0.020	0.000	
2	-0.020	0.067	
3	-0.020	0.099	
4	-0.020	0.132	
5	-0.020	0.165	
6	-0.020	0.198	
7	-0.020	0.231	
8	-0.020	0.264	
9	-0.020	0.297	
10	-0.025	0.330	
11	-0.025	0.363	
12	-0.025	0.396	
13	-0.020	0.429	
14	-0.020	0.462	
15	-0.020	0.495	
16	-0.020	0.528	
17	-0.020	0.561	
18	-0.020	0.594	
19	-0.020	0.627	
20	-0.020	0.660	
21	-0.020	0.693	
22	-0.020	0.727	
23	-0.020	0.759	
24	-0.020	0.793	
25	-0.020	0.825	
26	-0.020	0.858	
27	-0.020	0.924	
28	-0.020	0.957	
29	-0.020	0.990	
30	-0.020	1.023	
31	-0.020	1.056	
32	-0.020	1.089	
33	-0.020	1.122	
34	-0.020	1.155	
35	-0.020	1.188	
36	-0.025	1.221	
37	-0.025	1.254	
38	-0.020	1.287	
39	-0.020	1.320	
40	-0.020	1.353	
41	-0.020	1.386	
42	-0.020	1.419	
43	-0.025	1.452	
44	-0.020	1.485	
45	-0.020	1.518	
46	-0.020	1.551	
47	-0.020	1.584	
48	-0.020	1.617	
49	-0.020	1.650	
50	-0.020	1.683	
51	-0.020	1.716	
52	-0.020	1.749	
53	-0.020	1.782	
54	-0.020	1.815	
55	-0.020	1.848	
56	-0.020	1.881	
57	-0.020	1.914	
58	-0.020	1.947	
59	-0.020	1.980	
60	-0.020	2.013	
61	-0.020	2.046	
62	-0.020	2.079	
63	-0.020	2.112	
64	-0.020	2.145	
65	-0.020	2.178	
66	-0.020	2.211	
67	-0.020	2.244	
68	-0.020	2.277	
69	-0.015	2.310	
70	-0.015	2.344	
71	-0.010	2.376	
72	-0.015	2.409	
73	-0.010	2.442	
74	-0.015	2.475	
75	-0.025	2.508	
76	-0.035	2.541	
77	-0.055	2.574	
78	-0.290	2.640	
79	-0.010	2.673	
80	0.060	2.739	
81	0.090	2.772	
82	-0.085	2.838	
83	-0.200	2.871	
84	-0.050	2.904	
85	0.105	2.937	
86	-0.045	2.970	
87	-0.125	3.003	
88	-0.120	3.036	
89	0.035	3.102	
90	-0.060	3.135	
91	-0.185	3.168	
92	-0.075	3.201	
93	-0.085	3.234	
94	-0.090	3.267	
95	-0.095	3.300	
96	-0.095	3.333	
97	-0.095	3.366	
98	-0.095	3.399	
99	-0.105	3.432	
100	-0.105	3.465	
101	-0.105	3.498	
102	-0.105	3.531	
103	-0.105	3.564	
104	-0.125	3.597	
105	-0.215	3.630	
106	-0.135	3.663	
107	-0.140	3.696	
108	-0.150	3.729	
109	-0.160	3.762	
110	-0.155	3.795	
111	-0.155	3.828	
112	-0.155	3.861	
113	-0.155	3.894	
114	-0.170	3.927	
115	-0.165	3.961	
116	-0.180	3.993	
117	-0.195	4.026	
118	-0.210	4.059	
119	-0.215	4.092	
120	-0.220	4.125	
121	-0.230	4.158	
122	-0.235	4.191	
123	-0.235	4.224	
124	-0.235	4.257	
125	-0.235	4.290	
126	-0.245	4.323	
127	-0.240	4.356	
128	-0.235	4.389	
129	-0.245	4.422	
130	-0.250	4.455	
131	-0.255	4.488	
132	-0.240	4.521	
133	-0.245	4.554	
134	-0.250	4.587	
135	-0.255	4.620	
136	-0.250	4.653	
137	-0.230	4.686	
138	-0.235	4.719	
139	-0.230	4.752	
140	-0.245	4.785	
141	-0.230	4.818	
142	-0.235	4.851	
143	-0.240	4.884	
144	-0.240	4.917	
145	-0.235	4.950	
146	-0.225	4.983	
147	-0.235	5.016	
148	-0.240	5.049	
149	-0.240	5.082	
150	-0.225	5.115	
151	-0.230	5.148	
152	-0.240	5.181	
153	-0.230	5.214	
154	-0.220	5.247	
155	-0.220	5.280	
156	-0.220	5.313	
157	-0.230	5.346	
158	-0.220	5.379	
159	-0.220	5.412	
160	-0.205	5.445	
161	-0.200	5.478	
162	-0.190	5.511	
163	-0.170	5.544	
164	-0.160	5.578	
165	-0.150	5.610	
166	-0.145	5.643	
167	-0.140	5.676	
168	-0.125	5.709	
169	-0.130	5.742	
170	-0.125	5.775	
171	-0.125	5.808	
172	-0.115	5.841	
173	-0.115	5.874	
174	-0.120	5.907	
175	-0.115	5.940	
176	-0.120	5.973	
177	-0.120	6.006	
178	-0.130	6.039	
179	-0.130	6.072	
180	-0.120	6.105	
181	-0.120	6.138	
182	-0.120	6.171	
183	-0.120	6.204	
184	-0.115	6.237	
185	-0.125	6.270	
186	-0.245	6.303	
187	-0.120	6.336	
188	-0.110	6.369	
189	-0.115	6.402	
190	-0.130	6.435	
191	-0.230	6.468	
192	-0.125	6.501	
193	-0.125	6.534	
194	-0.155	6.567	
195	-0.295	6.600	
196	-0.160	6.633	
197	-0.060	6.666	
198	-0.165	6.699	
199	-0.175	6.732	
200	-0.290	6.765	
201	-0.175	6.798	
202	-0.105	6.831	
203	-0.185	6.864	
204	-0.200	6.897	
205	-0.195	6.930	
206	-0.180	6.963	
207	-0.195	6.996	
208	-0.205	7.029	
209	-0.205	7.062	
210	-0.210	7.095	
211	-0.205	7.128	
212	-0.220	7.161	
213	-0.215	7.194	
214	-0.215	7.227	
215	-0.210	7.260	
216	-0.225	7.293	
217	-0.330	7.326	
218	-0.235	7.359	
219	-0.235	7.393	
220	-0.230	7.425	
221	-0.250	7.458	
222	-0.250	7.491	
223	-0.240	7.524	
224	-0.235	7.557	
225	-0.265	7.623	
226	-0.255	7.656	
227	-0.250	7.689	
228	-0.255	7.722	
229	-0.260	7.755	
230	-0.255	7.788	
231	-0.245	7.821	
232	-0.250	7.854	
233	-0.255	7.887	
234	-0.250	7.920	
235	-0.245	7.953	
236	-0.240	7.986	
237	-0.245	8.019	
238	-0.235	8.052	
239	-0.225	8.086	
240	-0.235	8.118	
241	-0.230	8.151	
242	-0.235	8.184	
243	-0.225	8.217	
244	-0.225	8.250	
245	-0.220	8.283	
246	-0.220	8.316	
247	-0.200	8.349	
248	-0.185	8.382	
249	-0.180	8.415	
250	-0.175	8.448	
251	-0.170	8.481	
252	-0.155	8.514	
253	-0.150	8.547	
254	-0.145	8.580	
255	-0.140	8.613	
256	-0.130	8.646	
257	-0.120	8.679	
258	-0.130	8.712	
259	-0.135	8.745	
260	-0.125	8.778	
261	-0.120	8.844	
262	-0.135	8.877	
263	-0.125	8.910	
264	-0.110	8.944	
265	-0.110	8.976	
266	-0.110	9.009	
267	-0.125	9.042	
268	-0.125	9.108	
269	-0.125	9.141	
270	-0.130	9.174	
271	-0.130	9.207	
272	-0.120	9.240	
273	-0.125	9.273	
274	-0.125	9.306	
275	-0.140	9.339	
276	-0.235	9.372	
277	-0.150	9.405	
278	-0.180	9.438	
279	-0.180	9.471	
280	-0.180	9.504	
281	-0.305	9.537	
282	-0.195	9.570	
283	-0.215	9.603	
284	-0.125	9.636	
285	-0.355	9.669	
286	-0.300	9.702	
287	-0.220	9.768	
288	-0.210	9.801	
289	-0.345	9.834	
290	-0.220	9.867	
291	-0.220	9.900	
292	-0.135	9.933	
293	-0.220	9.966	
294	-0.305	9.999	
295	-0.215	10.032	
296	-0.205	10.065	
297	-0.310	10.131	
298	-0.220	10.164	
299	-0.215	10.197	
300	-0.125	10.230	
301	-0.205	10.263	
302	-0.315	10.296	
303	-0.220	10.329	
304	-0.210	10.364	
305	-0.200	10.396	
306	-0.110	10.428	
307	-0.125	10.494	
308	-0.200	10.527	
309	-0.240	10.593	
310	-0.240	10.626	
311	-0.230	10.659	
312	-0.235	10.692	
313	-0.245	10.725	
314	-0.255	10.758	
315	-0.245	10.791	
316	-0.240	10.824	
317	-0.250	10.857	
318	-0.250	10.890	
319	-0.240	10.923	
320	-0.230	10.956	
321	-0.235	10.989	
322	-0.235	11.022	
323	-0.225	11.088	
324	-0.215	11.121	
325	-0.215	11.187	
326	-0.200	11.220	
327	-0.190	11.253	
328	-0.170	11.286	
329	-0.145	11.352	
330	-0.145	11.385	
331	-0.140	11.418	
332	-0.135	11.451	
333	-0.115	11.517	
334	-0.120	11.550	
335	-0.120	11.616	
336	-0.120	11.649	
337	-0.115	11.682	
338	-0.125	11.715	
339	-0.115	11.781	
340	-0.115	11.814	
341	-0.125	11.880	
342	-0.120	11.913	
343	-0.135	11.979	
344	-0.150	12.013	
345	-0.140	12.045	
346	-0.150	12.111	
347	-0.150	12.144	
348	-0.155	12.210	
349	-0.185	12.243	
350	-0.215	12.309	
351	-0.210	12.342	
352	-0.235	12.408	
353	-0.385	12.441	
354	-0.245	12.507	
355	-0.250	12.540	
356	-0.265	12.606	
357	-0.240	12.639	
358	-0.245	12.705	
359	-0.250	12.738	
360	-0.235	12.804	
361	-0.225	12.837	
362	-0.210	12.903	
363	-0.195	12.936	
364	-0.200	13.002	
365	-0.205	13.035	
366	-0.170	13.101	
367	-0.185	13.134	
368	-0.180	13.200	
369	-0.175	13.233	
370	-0.180	13.299	
371	-0.170	13.332	
372	-0.160	13.398	
373	-0.180	13.431	
374	-0.175	13.497	
375	-0.175	13.530	
376	-0.205	13.596	
377	-0.205	13.630	
378	-0.215	13.662	
379	-0.225	13.728	
380	-0.230	13.761	
381	-0.215	13.827	
382	-0.225	13.860	
383	-0.225	13.926	
384	-0.215	13.959	
385	-0.195	14.025	
386	-0.180	14.058	
387	-0.160	14.124	
388	-0.160	14.157	
389	-0.140	14.223	
390	-0.130	14.256	
391	-0.110	14.322	
