2/17/2022  11:32 AM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.000	0.000	
2	0.000	0.099	
3	0.000	0.131	
4	0.000	0.165	
5	0.000	0.197	
6	0.000	0.230	
7	0.000	0.263	
8	0.000	0.296	
9	0.000	0.329	
10	0.000	0.362	
11	0.000	0.395	
12	0.000	0.429	
13	0.000	0.461	
14	0.000	0.494	
15	0.000	0.527	
16	0.000	0.560	
17	0.000	0.593	
18	0.000	0.627	
19	0.000	0.659	
20	0.000	0.692	
21	0.000	0.726	
22	0.000	0.792	
23	0.000	0.824	
24	0.000	0.890	
25	0.000	0.923	
26	0.000	0.956	
27	0.000	0.990	
28	0.000	1.022	
29	0.000	1.055	
30	0.000	1.089	
31	0.000	1.121	
32	0.000	1.154	
33	0.000	1.187	
34	0.000	1.220	
35	0.000	1.253	
36	0.000	1.287	
37	0.000	1.320	
38	0.000	1.352	
39	0.000	1.385	
40	0.000	1.418	
41	0.000	1.452	
42	0.000	1.484	
43	0.000	1.517	
44	0.000	1.550	
45	0.000	1.583	
46	0.000	1.616	
47	0.000	1.650	
48	0.000	1.682	
49	0.000	1.715	
50	0.000	1.749	
51	0.000	1.781	
52	0.000	1.814	
53	0.000	1.847	
54	0.000	1.880	
55	0.000	1.914	
56	0.000	1.946	
57	0.000	1.980	
58	0.000	2.012	
59	0.000	2.045	
60	0.000	2.078	
61	0.000	2.111	
62	0.000	2.144	
63	0.000	2.177	
64	0.000	2.210	
65	0.000	2.243	
66	0.000	2.276	
67	0.000	2.309	
68	0.000	2.342	
69	0.000	2.375	
70	-0.005	2.408	
71	-0.005	2.442	
72	-0.015	2.476	
73	-0.020	2.507	
74	-0.060	2.573	
75	-0.075	2.606	
76	-0.095	2.640	
77	-0.135	2.705	
78	-0.155	2.738	
79	-0.190	2.772	
80	-0.195	2.804	
81	-0.200	2.837	
82	-0.195	2.870	
83	-0.200	2.903	
84	-0.200	2.936	
85	-0.200	2.969	
86	-0.200	3.002	
87	-0.200	3.035	
88	-0.200	3.069	
89	-0.195	3.101	
90	-0.195	3.134	
91	-0.195	3.167	
92	-0.195	3.200	
93	-0.200	3.233	
94	-0.205	3.266	
95	-0.215	3.299	
96	-0.225	3.332	
97	-0.225	3.365	
98	-0.225	3.431	
99	-0.235	3.464	
100	-0.250	3.530	
101	-0.255	3.563	
102	-0.255	3.629	
103	-0.255	3.663	
104	-0.245	3.695	
105	-0.245	3.728	
106	-0.240	3.761	
107	-0.230	3.794	
108	-0.225	3.827	
